t, x, xd, y, yd
3.831599999999999451e+00,-4.011134029519906052e-01,5.731056059928884006e-01,1.214218218946805816e+00,3.827368961925824431e-01
3.862499999999999822e+00,-3.831447255248539574e-01,5.897854155958321964e-01,1.225796705690956445e+00,3.665789804358284276e-01
3.893399999999999750e+00,-3.646727937092709704e-01,6.056759810338159244e-01,1.236866718878588012e+00,3.498306959538727279e-01
3.924299999999999677e+00,-3.457222442468764756e-01,6.207612933231301255e-01,1.247410456546326651e+00,3.325206728356668306e-01
3.955199999999999605e+00,-3.263181977691760327e-01,6.350260493332082756e-01,1.257411012608649736e+00,3.146782595045204411e-01
3.986099999999999532e+00,-3.064862362976334409e-01,6.484556958339423582e-01,1.266852398395575729e+00,2.963334800778573697e-01
4.016999999999999460e+00,-2.862523794331293114e-01,6.610364703002726827e-01,1.275719562872705160e+00,2.775169917115144491e-01
4.047899999999999388e+00,-2.656430593330731948e-01,6.727554385956784344e-01,1.283998411542181639e+00,2.582600418696284761e-01
4.078799999999999315e+00,-2.446850945709138081e-01,6.836005296422229538e-01,1.291675824021564667e+00,2.385944254765577088e-01
4.109699999999999243e+00,-2.234056629696623553e-01,6.935605671723578114e-01,1.298739670296467530e+00,2.185524419205474578e-01
4.140599999999999170e+00,-2.018322734982754829e-01,7.026252986465956196e-01,1.305178825642062446e+00,1.981668518902705289e-01
4.171499999999999986e+00,-1.799927373173016432e-01,7.107854214112668823e-01,1.310983184208124763e+00,1.774708340352028069e-01
4.202399999999999913e+00,-1.579151380580440800e-01,7.180326061617391398e-01,1.316143671262143267e+00,1.564979414492533583e-01
4.233299999999999841e+00,-1.356278014175852920e-01,7.243595177685777653e-01,1.320652254085121990e+00,1.352820579843029281e-01
4.264199999999999768e+00,-1.131592641503746804e-01,7.297598335170378814e-01,1.324501951514999831e+00,1.138573544065279997e-01
4.295099999999999696e+00,-9.053824253560215085e-02,7.342282588039121816e-01,1.327686842133100287e+00,9.225824441363839057e-02
4.325999999999999623e+00,-6.779360039832416085e-02,7.377605403300069309e-01,1.330202071089649385e+00,7.051934053562511351e-02
4.356899999999999551e+00,-4.495431676120259512e-02,7.403534768213011485e-01,1.332043855565162804e+00,4.867540994533366139e-02
4.387799999999999478e+00,-2.204945320277178905e-02,7.420049273070804530e-01,1.333209488865360282e+00,2.676133020824713812e-02
4.418699999999999406e+00,8.918790026573135410e-04,7.427138169789521127e-01,1.333697343148217307e+00,4.812045003330243237e-03
